,0,1
0,accept_reservations,does spago in beverly hills allow customers to make reservations
1,accept_reservations,what is the reservation policy for spago in beverly hills
2,accept_reservations,are reservations taken at spago in beverly hills
3,accept_reservations,am i able to make reservations at spago in beverly hills
4,accept_reservations,can i make reservations at spago in beverly hills
5,accept_reservations,let me know if grub burger takes reservations
6,accept_reservations,give me information on grub burger reservations
7,accept_reservations,is grub burger taking reservations
8,accept_reservations,find out of grub burger takes reservations
9,accept_reservations,can i make reservations at grub burger
10,accept_reservations,is it possible to do a reservation at the bellagio
11,accept_reservations,does the bellagio have any reservations
12,accept_reservations,does bellagio allow you to do reservations
13,accept_reservations,can i make a reservation at chima steakhouse in chicago
14,accept_reservations,will i be able to schedule a reservation at 4 seasons in los angeles
15,accept_reservations,is it possible to make a reservation at sushi king in virginia beach
16,accept_reservations,does ruth chris in charlotte allow you to make a reservation
17,accept_reservations,will maggianos in charlotte allow me to make a reservation
18,accept_reservations,does long horns do reservations
19,accept_reservations,"i need to make a reservation to long horn's, can i"
20,accept_reservations,can i do a reservation at sammy's crab shack
21,accept_reservations,does bill's house of chop suey accept reservations
22,accept_reservations,check if bj's takes reservations
23,accept_reservations,does bj's take reservations
24,accept_reservations,will bj's take reservations
25,accept_reservations,do you know if i can make reservations at bj's
26,accept_reservations,tell me if the new york restaurant takes reservations
27,accept_reservations,can i reserve tables at the new york restaurant
28,accept_reservations,i want to know if the new york restaurant takes reservations
29,accept_reservations,does the new york restaurant take reservations
30,accept_reservations,is it possible to make reservations at the new york restaurant
31,accept_reservations,do you have any idea if the flying wing does reservations
32,accept_reservations,does village inn let you make reservations
33,accept_reservations,is it possible to get reservations at ihop
34,accept_reservations,is it possible to reserve a table at white castle
35,accept_reservations,do you think they'll let me reserve a table at the olive garden
36,accept_reservations,do they take reservations at applebeesi
37,accept_reservations,does applebees do reservations
38,accept_reservations,can applebees take reservations
39,accept_reservations,can i get reservations at applebees
40,accept_reservations,does applebees take reservations
41,accept_reservations,tell me if taco bell takes reservations
42,accept_reservations,any clue as to if taco bell takes reservations
43,accept_reservations,do you know if taco bell takes reservations
44,accept_reservations,any idea as to if taco bell takes reservations
45,accept_reservations,do you know if l'arpege will ask for reservations
46,accept_reservations,will we have to make reservations for roca
47,accept_reservations,does osteria francescana take reservations
48,accept_reservations,do you have any idea if central needs reservations
49,accept_reservations,eleven madison park takes reservations right
50,account_blocked,my account looks to be blocked and i have no idea why
51,account_blocked,it seems that my account is blocked and i'm not sure why
52,account_blocked,my account appears to be blocked and i don't know why
53,account_blocked,it looks like my account is blocked but i have no clue why
54,account_blocked,my account appears to be blocked but i have no idea why that could be
55,account_blocked,why did you freeze my bank account
56,account_blocked,how did my bank account is frozen
57,account_blocked,can anyone let me know the reason behind my frozen bank account
58,account_blocked,what are the possible reasons behind frozen bank account
59,account_blocked,need help with frozen bank account
60,account_blocked,great western bank's login screen tells me i'm locked out but not why
61,account_blocked,i get an error message when i try logging in to capital one that says i'm locked out
62,account_blocked,can you check and see if my account's blocked
63,account_blocked,why can't i log into my bank account
64,account_blocked,tell me why i get an error logging in to my bank account
65,account_blocked,i'd like to know if my account's blocked and the reason if so
66,account_blocked,can you confirm my account's blocked and tell me why
67,account_blocked,do you have any idea why my account may be blocked
68,account_blocked,find out why i can't log in to my bank of america account
69,account_blocked,please tell me the reason for the hold on my bb&t account
70,account_blocked,why is my bank account locked
71,account_blocked,how do i unlock my bank account
72,account_blocked,can you unlock my bank account
73,account_blocked,how did my bank account get frozen
74,account_blocked,can you help me unlock my bank account
75,account_blocked,call my bank and ask them why my account is frozen
76,account_blocked,check with my bank to see why my account is frozen
77,account_blocked,do you know why my bank account is frozen
78,account_blocked,why did my bank place a hold on my bank account
79,account_blocked,are there any problems with my bank account
80,account_blocked,did someone who is unauthorized try to get into my bank account
81,account_blocked,how can i unfreeze my bank account
82,account_blocked,why is there a stop on my deposit account
83,account_blocked,why can't i use my money market account
84,account_blocked,why is there a delay on my checking account
85,account_blocked,why is my checking account not working
86,account_blocked,what could cause a hold on my savings account
87,account_blocked,what caused a hold on my us bank account
88,account_blocked,can you check and see why us bank put a hold on my account
